City ID,City,Country,Max_Temp,Weather description,Lat,Lng,Hotel Name
2,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Omboue,GA,78.19,few clouds,-1.5746,9.2618,Hotel Olako
13,Kutum,SD,82.2,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
14,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
19,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
27,Rikitea,PF,77.76,clear sky,-23.1203,-134.9692,People ThankYou
29,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
38,Atuona,PF,79.34,clear sky,-9.8,-139.0333,Villa Enata
46,Hithadhoo,MV,83.41,scattered clouds,-0.6,73.0833,Scoop Guest House
51,Kavaratti,IN,82.29,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
65,Manzanillo,CU,89.69,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
67,Acajutla,SV,86.22,scattered clouds,13.5928,-89.8275,Laureles
70,Phan Thiet,VN,77.95,scattered clouds,10.9333,108.1,Hotel Saigon-PT
73,Jalu,LY,86.97,clear sky,29.0331,21.5482,صاحبة الفخامة
74,Puerto Ayora,EC,82.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
82,Mitsamiouli,KM,82.08,clear sky,-11.3847,43.2844,Foyer ADM
83,Cabedelo,BR,86.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
90,Illapel,CL,80.17,clear sky,-31.6308,-71.1653,Hotel Londres
95,Bandar-E Lengeh,IR,77.11,haze,26.5579,54.8807,کافی نت پارس
96,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
97,Kuching,MY,77.22,light rain,1.55,110.3333,Hilton Kuching
98,Del Rio,US,77.4,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
99,Dutse,NG,87.66,few clouds,11.7594,9.3392,Central Mosque Galamawa
100,Faanui,PF,82.8,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Kieta,PG,79.79,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
