City ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-04-04 02:21:58,-21.3585,55.7679,74.79,86,97,13.78
1,Busselton,AU,2022-04-04 02:21:33,-33.65,115.3333,68.63,52,15,14.54
2,Oistins,BB,2022-04-04 02:25:44,13.0667,-59.5333,78.89,69,40,18.41
3,Margate,GB,2022-04-04 02:27:44,51.3813,1.3862,40.69,70,98,5.99
4,Alta Floresta,BR,2022-04-04 02:23:07,-9.8756,-56.0861,71.69,96,100,1.19
5,Iaciara,BR,2022-04-04 02:27:44,-14.0958,-46.6317,73.9,48,35,3.31
6,Bandarbeyla,SO,2022-04-04 02:21:42,9.4942,50.8122,75.69,82,6,2.53
7,Georgetown,MY,2022-04-04 02:21:48,5.4112,100.3354,84.13,82,20,6.91
8,Calvia,ES,2022-04-04 02:27:45,39.5657,2.5062,49.91,59,100,17.54
9,Dikson,RU,2022-04-04 02:21:55,73.5069,80.5464,2.34,94,81,9.71
10,Santo Domingo,DO,2022-04-04 02:27:45,18.5001,-69.9886,79.03,85,40,1.99
11,Kinshasa,CD,2022-04-04 02:27:46,-4.3246,15.3215,75.58,94,100,1.14
12,Sao Joao Del Rei,BR,2022-04-04 02:27:46,-21.1356,-44.2617,63.95,98,13,4.12
13,Bonthe,SL,2022-04-04 02:27:46,7.5264,-12.505,76.24,77,25,8.14
14,Port Alfred,ZA,2022-04-04 02:21:44,-33.5906,26.891,64.18,91,50,1.01
15,Sassandra,CI,2022-04-04 02:27:47,4.95,-6.0833,78.55,88,98,7.2
16,Souillac,MU,2022-04-04 02:22:23,-20.5167,57.5167,79.18,83,75,11.5
17,Malacacheta,BR,2022-04-04 02:27:48,-17.8422,-42.0767,64.06,89,0,3.62
18,Olafsvik,IS,2022-04-04 02:22:22,64.8945,-23.7142,32.9,77,96,20.04
19,Chuy,UY,2022-04-04 02:21:44,-33.6971,-53.4616,63.12,95,6,5.46
20,Mar Del Plata,AR,2022-04-04 02:21:59,-38.0023,-57.5575,53.87,62,0,11.99
